,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs,mediagol_fatti h,mediagol_subiti h,varianzagol_fatti h,varianzagol_subiti h,mediagol_fatti a,mediagol_subiti a,varianzagol_fatti a,varianzagol_subiti a
129,Cagliari-Milan,1.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,0 , 2,1.2777777777777777,2.0,1.127493605332358,1.2833778958394957,2.1666666666666665,1.0555555555555556,0.5144957554275265,1.055641551364534
130,Benevento-Torino,2.0,0.0,2.0,0.0,0.0,11.0,1.0,2.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2 , 2,1.2105263157894737,1.894736842105263,0.8549819600709617,1.6962290477574484,1.4736842105263157,1.947368421052632,1.0202625507753482,1.35292621998583
131,Roma-Spezia,2.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,4 , 3,2.1578947368421053,1.6842105263157894,1.6077298658784152,1.3764944032233708,1.368421052631579,1.894736842105263,0.9551338658818384,1.4100723717480783
132,Milan-Atalanta,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0 , 3,2.0526315789473686,1.1578947368421053,0.7050361858740393,1.11868761873192,2.3157894736842106,1.2105263157894737,1.7013926184468016,1.0841764600337105
133,Udinese-Inter,0.0,0.0,1.0,0.0,0.0,15.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0 , 0,1.0526315789473684,1.4736842105263157,1.0787690624311024,1.0733344230135038,2.3684210526315788,1.2105263157894737,1.5351629054269225,0.917662935482247
134,Fiorentina-Crotone,2.0,1.0,0.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,3.0,2.0,1.0,2 , 1,1.0526315789473684,1.5789473684210529,1.0787690624311024,1.5389675281277309,1.1578947368421053,2.263157894736842,1.213953957333768,1.5931138364556476
135,Juventus-Bologna,0.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2 , 0,2.0526315789473686,1.0,1.2681431837544703,0.7453559924999299,1.263157894736842,1.736842105263158,1.1945294407402949,1.2841817655680772
136,Genoa-Cagliari,2.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,1 , 0,1.0,1.5789473684210529,1.0,1.4265650070355171,1.2105263157894737,1.947368421052632,1.134261745631201,1.2681431837544703
137,Verona-Napoli,0.0,2.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,0.0,3 , 1,1.3157894736842106,0.9473684210526316,1.002919714242558,0.7050361858740394,2.210526315789474,1.105263157894737,1.9025990226360552,0.9941348467724344
138,Lazio-Sassuolo,0.0,1.0,2.0,2.0,2.0,7.0,2.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,2 , 1,1.6842105263157894,1.368421052631579,0.88522637273985,1.2565617248750864,1.6842105263157894,1.5263157894736843,1.3355245153100537,1.3891812557774843
