,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,media gol_fatti h,media gol_subiti h,media gol_fatti a,media gol_subiti a,varianza gol_fatti h,varianza gol_subiti h,varianza gol_fatti a,varianza gol_subiti a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
100,Milan-Salernitana,2,1,0,0,2,2,0,0,0,1,0,20,2.1875,1.125,0.6875,2.0625,1.0468205831628137,1.2041594578792296,0.873212459828649,1.2365947867699696,2,1,3,1,3,1,1,4,3,0,0,0,0,1,0,1,3,2,1,2,2,0
101,Roma-Inter,0,0,2,2,0,5,2,1,2,2,2,3,1.5,1.1875,2.4375,0.9375,1.1547005383792517,1.2230426539304888,1.2632629707758134,0.9287087810503356,1,2,2,1,0,2,3,0,0,1,2,1,3,2,2,0,1,2,0,0,0,3
102,Napoli-Atalanta,2,1,0,2,1,1,1,2,2,2,2,4,2.125,0.75,2.1875,1.1875,1.1474609652039005,1.0645812948447542,1.3275918047351754,0.9105858919765156,1,1,2,4,2,0,1,3,0,2,2,2,5,1,4,2,1,2,0,0,2,3
103,Bologna-Fiorentina,2,2,0,2,2,8,2,0,2,0,2,6,1.4375,1.6875,1.6875,1.375,0.963932916061417,1.8518009252256755,1.25,1.02469507659596,2,2,0,1,1,0,1,1,0,0,3,0,4,1,3,0,1,3,2,1,2,3
104,Spezia-Sassuolo,0,2,0,0,0,17,0,0,1,2,1,12,1.0625,2.25,1.625,1.5625,0.8539125638299665,1.61245154965971,0.957427107756338,0.8139410298049853,0,1,2,0,0,3,0,5,1,2,1,2,2,3,2,2,3,2,1,2,2,2
105,Venezia-Verona,1,2,2,0,0,16,2,1,2,0,1,10,0.9375,1.8125,2.0,1.75,0.9979144919948468,1.2763881332363862,1.3165611772087666,1.1254628677422756,0,3,1,0,0,0,2,0,2,4,2,1,2,1,0,1,1,1,3,0,3,4
106,Sampdoria-Lazio,0,0,2,2,0,15,1,2,0,0,1,9,1.375,2.0,2.0,1.875,1.0878112581387147,1.3165611772087666,1.7126976771553504,1.3102162671355695,0,1,2,3,1,3,2,0,1,3,2,3,0,0,4,2,0,2,4,4,1,3
107,Juventus-Genoa,0,2,2,0,2,7,1,1,0,1,0,18,1.375,1.0,1.0625,1.9375,0.8850612031567836,0.8944271909999159,1.1236102527122116,1.062622541953005,1,1,2,0,2,2,0,0,1,0,0,2,0,0,0,0,2,2,0,3,2,0
108,Empoli-Udinese,2,1,0,2,1,11,0,2,0,1,1,14,1.625,1.8125,1.3125,1.6875,1.2583057392117916,1.0468205831628137,1.3022416570411703,1.3022416570411703,2,2,1,2,2,1,2,2,1,2,0,3,1,0,4,2,2,2,0,4,3,1
109,Cagliari-Torino,0,0,1,1,1,19,2,0,2,0,1,13,1.0625,1.875,1.25,1.0625,0.9287087810503356,0.957427107756338,1.2382783747337809,0.6800735254367721,0,1,2,1,0,2,2,2,1,0,3,0,2,0,2,0,1,1,1,2,1,1
