,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
51,Crotone-Spezia,0.0,1.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,1.0,0.0,15.0,0.9090909090909092,2.272727272727273,1.3636363636363635,2.090909090909091,1.2210278829367864,1.489356175728901,0.9244162777371754,1.5782614139961386,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,2.0,4 , 1
52,Torino-Udinese,0.0,1.0,0.0,1.0,0.0,18.0,0.0,1.0,2.0,2.0,1.0,13.0,1.7272727272727273,2.4545454545454546,1.2727272727272727,1.3636363636363635,1.009049958219026,1.3684762594679063,1.2720777563426766,0.9244162777371756,3.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,2 , 3
53,Lazio-Verona,2.0,1.0,2.0,0.0,2.0,7.0,2.0,1.0,0.0,2.0,1.0,8.0,1.5454545454545454,1.7272727272727273,1.3636363636363635,0.8181818181818182,1.0357254813546264,1.348399724926484,1.1200649331826502,0.7507571935295483,4.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1 , 2
54,Cagliari-Inter,0.0,2.0,0.0,1.0,1.0,11.0,1.0,1.0,2.0,2.0,2.0,3.0,1.6363636363636365,2.090909090909091,2.636363636363636,1.3636363636363635,1.2060453783110543,1.300349603340998,1.3618169680781094,0.9244162777371756,2.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,1 , 3
55,Atalanta-Fiorentina,2.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,17.0,2.0,1.5454545454545454,1.0,1.7272727272727273,1.7320508075688772,1.2135597524338355,1.1832159566199232,1.1908743922772955,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,3 , 0
56,Bologna-Roma,2.0,0.0,2.0,2.0,0.0,10.0,2.0,2.0,2.0,0.0,1.0,6.0,1.4545454545454546,2.0,2.1818181818181817,1.4545454545454546,1.3684762594679063,1.4832396974191326,1.834021909257456,1.4396969378057567,3.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1 , 5
57,Napoli-Sampdoria,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,2.4545454545454546,0.9090909090909092,1.4545454545454546,1.7272727272727273,1.809068067466582,1.0444659357341868,1.0357254813546264,0.9045340337332908,0.0,1.0,1.0,4.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2 , 1
58,Genoa-Juventus,1.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,2.0,1.0,2.0,4.0,0.9090909090909092,2.0,2.0,0.9090909090909092,1.1361818036340356,1.61245154965971,1.0,0.5393598899705937,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1 , 3
59,Milan-Parma,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,16.0,2.272727272727273,1.0,1.0909090909090908,1.7272727272727273,0.4670993664969137,1.0,0.9438798074485388,1.348399724926484,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,2 , 2
60,Udinese-Crotone,1.0,2.0,2.0,1.0,2.0,10.0,1.0,0.0,0.0,0.0,2.0,20.0,1.1666666666666667,1.25,0.8333333333333334,2.083333333333333,1.2673044646258476,0.9653072991634228,1.19341628287971,1.5642792899510296,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,1.0,0 , 0
