,Partita,Rt-5h,Rt-4h,Rt-3h,Rt-2h,Rt-1h,Classifica h,Rt-5a,Rt-4a,Rt-3a,Rt-2a,Rt-1a,Classifica a,MGf h,MGs h,MGf a,MGs a,SGf h,SGs h,SGf a,SGs a,Gf-5h,Gf-4h,Gf-3h,Gf-2h,Gf-1h,Gs-5h,Gs-4h,Gs-3h,Gs-2h,Gs-1h,Gf-5a,Gf-4a,Gf-3a,Gf-2a,Gf-1a,Gs-5a,Gs-4a,Gs-3a,Gs-2a,Gs-1a,yGf,yGs
341,Cagliari-Sampdoria,0.0,0.0,2.0,2.0,0.0,12.0,0.0,2.0,2.0,2.0,1.0,9.0,2.0,2.5,1.833333333333333,1.5,1.414213562373095,1.378404875209022,1.169045194450012,1.224744871391589,0.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,2 , 0
342,Benevento-Spezia,2.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,17.0,1.666666666666667,2.833333333333333,1.333333333333333,2.5,0.816496580927726,1.940790217067952,0.816496580927726,1.51657508881031,3.0,1.0,2.0,1.0,1.0,2.0,0.0,5.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,0 , 3
343,Parma-Fiorentina,0.0,2.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,2.0,0.0,11.0,1.333333333333333,2.166666666666667,1.666666666666667,2.0,0.816496580927726,1.329160135825126,1.211060141638997,1.264911064067352,1.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0,0 , 0
344,Lazio-Juventus,2.0,1.0,0.0,2.0,2.0,10.0,1.0,2.0,1.0,1.0,2.0,4.0,1.666666666666667,2.0,2.166666666666667,1.0,1.366260102127946,1.549193338482967,1.169045194450012,0.6324555320336759,2.0,1.0,0.0,2.0,4.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1 , 1
345,Atalanta-Inter,2.0,2.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,6.0,2.833333333333333,2.166666666666667,2.5,1.666666666666667,1.722401424368508,1.169045194450012,1.643167672515498,1.032795558988645,4.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,1 , 1
346,Genoa-Roma,0.0,0.0,1.0,0.0,1.0,16.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,2.166666666666667,1.666666666666667,1.549193338482967,2.097617696340303,1.722401424368508,1.366260102127946,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,1 , 3
347,Torino-Crotone,0.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,20.0,2.0,2.666666666666667,1.0,2.833333333333333,1.095445115010332,1.366260102127946,0.6324555320336759,1.329160135825126,2.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,0 , 0
348,Bologna-Napoli,2.0,0.0,0.0,0.0,2.0,13.0,2.0,0.0,2.0,2.0,0.0,3.0,1.833333333333333,2.0,2.5,1.0,1.722401424368508,1.095445115010332,2.16794833886788,0.8944271909999159,4.0,0.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,6.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0 , 1
349,Milan-Verona,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0,2.333333333333333,0.8333333333333334,1.333333333333333,0.5,0.5163977794943222,1.169045194450012,1.366260102127946,0.5477225575051661,2.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2 , 2
350,Crotone-Lazio,0.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,2.0,2.0,1.0,9.0,0.8571428571428571,2.428571428571428,1.571428571428571,1.857142857142857,0.6900655593423541,1.618347187425374,1.272418020560704,1.4638501094228,1.0,1.0,2.0,1.0,0.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,0 , 2
